     [00]part_tag         [01]time         [02]posx         [03]posy         [04]posz         [05]velx         [06]vely         [07]velz       [08]accelx       [09]accely       [10]accelz        [11]anglx        [12]angly        [13]anglz         [14]mass         [15]mdot        [16]ptime
            65540  3.929833484E+13 -7.558444993E+18  9.564205473E+18 -4.539674142E+17 -2.101057503E+04  3.573570763E+04  3.851092358E+04  1.732092832E-10  2.099747679E-09  9.166039930E-12 -2.099174991E+52 -5.036413150E+51  2.045197071E+52  6.035690921E+32  8.027958832E+20  3.846318013E+13
            65540  3.931871998E+13 -7.558730650E+18  9.564775719E+18 -4.532558124E+17 -2.094872514E+04  3.582013025E+04  3.857387891E+04  2.178418249E-09  1.598371766E-09  2.235719891E-09 -2.176674654E+52 -5.736234874E+51  2.115331729E+52  6.201635399E+32  8.140463614E+20  3.846318013E+13
            65540  3.935947313E+13 -7.559398347E+18  9.566309691E+18 -4.516820871E+17 -2.084392184E+04  3.602834050E+04  3.860740848E+04  4.034501559E-10  2.214066794E-09  1.195828751E-12 -2.127887372E+52 -7.364225827E+51  2.245549677E+52  6.585403727E+32  9.416899815E+20  3.846318013E+13
            65540  3.937988124E+13 -7.559764508E+18  9.567108301E+18 -4.507896958E+17 -2.076664889E+04  3.605498268E+04  3.861625796E+04  2.173871933E-09  1.790826278E-09  2.259103056E-09 -2.119819678E+52 -8.598903990E+51  2.306896544E+52  6.794770481E+32  1.025900051E+21  3.846318013E+13
            65540  3.942076838E+13 -7.560552682E+18  9.568946790E+18 -4.487718073E+17 -2.062964948E+04  3.619852487E+04  3.844555986E+04  6.847875658E-10  2.342532934E-09 -3.123406463E-11 -2.182100248E+52 -1.191416965E+52  2.487216025E+52  7.244307197E+32  1.099457393E+21  3.846318013E+13
            65540  3.944115129E+13 -7.560961807E+18  9.569906705E+18 -4.477295659E+17 -2.055213469E+04  3.617233729E+04  3.838272973E+04  2.216893868E-09  1.792459848E-09  2.051639233E-09 -2.225799040E+52 -1.381320249E+52  2.581330858E+52  7.478997280E+32  1.151406240E+21  3.846318013E+13
            65540  3.948231013E+13 -7.561771752E+18  9.571821500E+18 -4.457069338E+17 -2.039086692E+04  3.629015034E+04  3.818826435E+04  1.020409134E-09  2.468824376E-09 -1.021223197E-10 -2.271573550E+52 -1.778380065E+52  2.733352722E+52  7.954875509E+32  1.156199163E+21  3.846318013E+13
            65540  3.950277324E+13 -7.562180873E+18  9.572779311E+18 -4.447217560E+17 -2.032049872E+04  3.625170513E+04  3.813408081E+04  2.276520752E-09  1.708386765E-09  1.794494488E-09 -2.274741791E+52 -1.981945661E+52  2.776342313E+52  8.192627318E+32  1.161856070E+21  3.846318013E+13
            65540  3.954428452E+13 -7.562813665E+18  9.574895136E+18 -4.428145807E+17 -2.021673462E+04  3.624337169E+04  3.797611109E+04  1.242424277E-09  2.233248550E-09 -1.642406003E-10 -2.194645869E+52 -2.434120813E+52  2.731390852E+52  8.708584463E+32  1.242932295E+21  3.846318013E+13
            65540  3.956486163E+13 -7.563119623E+18  9.575926484E+18 -4.418985940E+17 -2.018753308E+04  3.615844762E+04  3.794933822E+04  2.274976992E-09  1.538239184E-09  1.616446494E-09 -2.142842610E+52 -2.672654181E+52  2.692591515E+52  8.969813948E+32  1.269515070E+21  3.846318013E+13
            65540  3.960689063E+13 -7.563714852E+18  9.577967815E+18 -4.401206493E+17 -2.009170553E+04  3.612511828E+04  3.785583800E+04  1.365494245E-09  1.860945394E-09 -2.039147734E-10 -2.008783214E+52 -3.182215210E+52  2.588253154E+52  9.513766138E+32  1.294230577E+21  3.846318013E+13
            65540  3.962759599E+13 -7.564011411E+18  9.578949896E+18 -4.392647018E+17 -2.006981593E+04  3.604777564E+04  3.785884538E+04  2.223450825E-09  1.363961437E-09  1.532990925E-09 -1.932193662E+52 -3.445033725E+52  2.523439591E+52  9.785502736E+32  1.312397497E+21  3.846318013E+13
            65540  3.967043394E+13 -7.564741750E+18  9.581026905E+18 -4.375986772E+17 -1.991360528E+04  3.598777632E+04  3.780242044E+04  1.472316373E-09  1.547989896E-09 -2.263632372E-10 -1.856152012E+52 -4.182435379E+52  2.225986798E+52  1.038339329E+33  1.395703093E+21  3.846318013E+13
            65540  3.969144022E+13 -7.565120384E+18  9.582030134E+18 -4.368002146E+17 -1.985916651E+04  3.590951028E+04  3.782277034E+04  2.214194890E-09  1.201665611E-09  1.540719008E-09 -1.821986207E+52 -4.580616919E+52  2.048858600E+52  1.068395289E+33  1.430808215E+21  3.846318013E+13
            65540  3.973468264E+13 -7.565911471E+18  9.588042756E+18 -4.351271566E+17 -1.912885848E+04  3.420027174E+04  3.738296975E+04  8.189424915E-09  1.137737507E-09 -4.129109992E-09 -1.934277421E+52 -5.726679614E+52  1.738179495E+52  1.237556947E+32  1.536588157E+21  3.846318013E+13
            65540  3.975606014E+13 -7.566641876E+18  9.589683872E+18 -4.341864540E+17 -1.899385064E+04  3.387985362E+04  3.726301116E+04  2.177282766E-09 -1.817465291E-10  1.637786218E-09 -2.069522829E+52 -6.434752830E+52  1.588278450E+52  1.581366968E+32  1.608279841E+21  3.846318013E+13
            65540  3.979969045E+13 -7.567383892E+18  9.591739183E+18 -4.327589289E+17 -1.825935364E+04  3.361487883E+04  3.699824361E+04  8.172902710E-09 -1.250943907E-09 -3.969094375E-09 -2.366226269E+52 -7.891798184E+52  1.324369089E+52  2.320292301E+32  1.693605695E+21  3.846318013E+13
            65540  3.982129735E+13 -7.567294844E+18  9.592611491E+18 -4.317581053E+17 -1.840630069E+04  3.357912481E+04  3.693137156E+04  2.297963153E-09 -5.084976324E-10  1.736350743E-09 -2.507078353E+52 -8.518200655E+52  1.179249452E+52  2.710624721E+32  1.806517110E+21  3.846318013E+13
            65540  3.986526976E+13 -7.567070587E+18  9.594135222E+18 -4.299280918E+17 -1.802180605E+04  3.348406799E+04  3.651237638E+04  8.053360297E-09 -1.483528823E-09 -3.841251233E-09 -2.817825284E+52 -9.878008348E+52  7.883131914E+51  3.565595790E+32  1.944335280E+21  3.846318013E+13
            65540  3.988706781E+13 -7.567141029E+18  9.594826354E+18 -4.290516643E+17 -1.813812923E+04  3.353703874E+04  3.653758115E+04  1.988325873E-09 -4.352554160E-10  1.641466697E-09 -2.972890742E+52 -1.059316573E+53  5.662497486E+51  3.995389891E+32  1.971709175E+21  3.846318013E+13
            65540  3.993139868E+13 -7.567261815E+18  9.596066239E+18 -4.275652109E+17 -1.764814409E+04  3.360247987E+04  3.635157867E+04  7.817509223E-09 -1.403294832E-09 -3.845934601E-09 -3.337976939E+52 -1.208010872E+53  1.555967294E+51  4.897122113E+32  2.034095572E+21  3.846318013E+13
            65540  3.995338652E+13 -7.567385542E+18  9.596696892E+18 -4.268268452E+17 -1.775011733E+04  3.369327303E+04  3.649027977E+04  1.808762537E-09 -1.779457988E-10  1.712300990E-09 -3.517845727E+52 -1.281802820E+53 -5.255491396E+50  5.344975014E+32  2.036820026E+21  3.846318013E+13
            65540  3.999816904E+13 -7.567600839E+18  9.597910771E+18 -4.254784797E+17 -1.721818848E+04  3.379959005E+04  3.644475032E+04  7.766445991E-09 -1.201580188E-09 -3.687237566E-09 -3.940932910E+52 -1.434679201E+53 -4.322924873E+51  6.277975622E+32  2.083403717E+21  3.846318013E+13
            65540  4.002037694E+13 -7.567753793E+18  9.598540399E+18 -4.247855527E+17 -1.731399596E+04  3.390219740E+04  3.663937365E+04  1.663610041E-09  1.352749200E-10  1.900741303E-09 -4.150129409E+52 -1.510147160E+53 -6.253592194E+51  6.738930073E+32  2.075632678E+21  3.846318013E+13
